dataset_name,Train,Test,Class,Length,DTW_LOOCV,UCRSuite_LOOCV,EAP_LOOCV,FastWWSearch,FastWWSearch_EA,FastWWSearch_NoLb,EAP_FastWWSearch,EAP_FastWWSearch_EA,EAP_FastWWSearch_NoLb,UltraFastWWSearch_V1,UltraFastWWSearch_V2,UltraFastWWSearch,UltraFastWWSearch-Global,FastWDTW,EAP_FastWDTW,EAP_FastWDTW_EA,UltraFastWDTW-Local,UltraFastWDTW-Global,FastERP,EAP_FastERP,EAP_FastERP_EA,UltraFastERP-Local,UltraFastERP-Global,FastMSM,EAP_FastMSM,EAP_FastMSM_EA,UltraFastMSM-Local,UltraFastMSM-Global,FastTWE,EAP_FastTWE,EAP_FastTWE_EA,UltraFastTWE-Local,UltraFastTWE-Global,FastLCSS,EAP_FastLCSS,EAP_FastLCSS_EA,UltraFastLCSS-Local,UltraFastLCSS-Global
CBF,30,900,3,128,5.8218248,5.358890415,1.928218877,0.153783227,0.244081628,0.160586053,0.109009837,0.136133592,0.103277975,0.120766928,0.100523426,0.084548108,0.076631521,2.306544562,2.114358663,1.694807693,1.363755092,2.296377975,1.542603246,0.571756204,0.742442478,0.421317045,0.453746324,1.732443861,0.879897374,2.178264054,2.064050826,0.466378243,1.549334277,0.870296841,2.279572922,2.186372599,0.721841319,0.825701007,0.352994464,0.487832033,0.289746718,0.400001954
Car,60,60,4,577,380.5110885,218.6803712,19.95006105,5.712235637,7.144616958,7.133376394,3.947380813,2.287397334,3.202060194,1.999043422,1.878582868,0.613407007,1.377170143,262.2989206,190.6934279,189.1974466,129.4976424,169.5500112,76.53622565,20.46546825,10.68346199,4.389124749,5.889340497,202.7776196,56.54007642,53.68504321,57.80030967,40.89791191,162.6793998,95.91861791,105.1556159,91.55675052,73.08220445,19.6120454,5.813317465,5.32999861,2.985318034,5.317261782
Chinatown,20,343,2,24,0.54053802,0.405769017,0.260608977,0.084673997,0.037611101,0.055401112,0.075939486,0.04831243,0.040920422,0.029192144,0.03097544,0.042624091,0.019353599,0.142879047,0.101186741,0.107706905,0.073092604,0.082483701,0.119619767,0.052860804,0.05160844,0.042319862,0.061686755,0.093403937,0.055626793,0.055564385,0.049184502,0.042935079,0.149535617,0.085515411,0.101769593,0.074858437,0.084581873,0.029086757,0.028716867,0.053286993,0.052651532,0.07250911
ChlorineConcentration,467,3840,3,166,1489.197957,386.3916577,43.0832427,10.89415687,8.098275658,35.52251084,8.099817388,3.106431785,25.45120811,2.543701879,2.273554634,1.065251896,1.55435893,306.1199795,280.1768862,345.4410518,451.0880993,323.710159,211.9510359,66.47359407,23.49424495,5.310668748,5.162551455,105.8847386,40.06600527,42.90231371,36.83799731,8.188628631,212.486088,121.038578,28.79115054,20.80580276,8.192494584,56.45900014,21.88126546,6.694826884,4.888672764,20.96058287
CinCECGTorso,40,1380,4,1639,1177.839769,2237.141253,218.4741212,25.92531292,44.74719739,31.93255087,16.12096231,21.39887047,13.68479234,20.39742986,16.90430083,9.767689407,13.10420751,834.932904,613.1388596,623.546855,492.4506336,,127.7439606,74.20948802,67.41016117,48.74993025,62.9853007,353.9711801,275.1488391,437.4219599,423.5219233,230.1817936,809.3545207,506.1044133,772.054411,724.8689181,508.9125632,125.2013278,40.49107843,48.26591285,28.33165174,38.96174284
Coffee,28,28,2,286,26.32070968,21.69041856,4.436791616,0.683942445,0.93392281,0.645512264,0.460047067,0.389395603,0.429749124,0.145189717,0.13876484,0.201423559,0.054861763,13.64617045,9.765612496,8.872182057,6.029645993,7.901004546,4.28921816,1.282545221,0.762346954,0.364830533,0.337154669,6.921579243,2.384500187,3.231595196,3.393156287,1.20861398,7.221665244,4.162197113,3.518139783,2.467755101,2.046610778,0.471595787,0.206114025,0.157269512,0.164081368,0.252984236
Computers,250,250,2,720,8660.440938,2748.472075,1665.547242,147.2746975,242.1650789,166.4945776,105.4026658,140.6563515,75.19825241,129.8445972,100.6304634,50.20244653,69.24106729,7078.20737,5237.556417,5098.949322,3631.522944,5557.225708,1481.560936,450.5275024,459.9740677,285.3254772,364.2999972,1681.164544,431.1382387,1476.763332,1444.946801,380.9273492,1981.541305,1187.674737,3879.123506,3758.752104,869.7356462,700.7866316,237.1359248,313.1805,188.3850861,218.062507
CricketX,390,390,12,300,3865.27115,1887.6092,292.4583448,67.5138575,107.1262761,80.0533545,49.02712495,51.76337414,45.05836761,47.73549655,33.87195237,14.84855778,43.2708195,2652.277853,1992.01311,1907.732981,1271.789386,2136.141859,747.385436,230.9300668,197.0218603,85.0129705,179.3493211,971.2858798,314.3822985,1347.449572,1439.949764,253.0440552,1110.256204,638.1354447,1547.544034,1486.198327,502.1274412,396.0333472,149.3842599,181.6717682,98.47435976,146.9844093
CricketY,390,390,12,300,3748.187113,1931.413197,277.8237192,68.922866,108.1912331,79.81858423,50.70328331,52.57548033,45.08454252,47.34760967,34.66540062,14.48797904,42.68896164,2526.880112,1906.658817,1914.724249,1270.168187,2033.253733,707.3880445,231.6324069,203.5681003,84.28982446,172.9383187,1026.71839,331.3352103,1404.276954,1502.057553,268.6042197,1241.781047,712.2561484,1716.492311,1655.965331,598.8207516,393.0447531,151.5839919,173.0576349,92.41999805,145.0658983
CricketZ,390,390,12,300,5044.690116,1773.105441,277.6843932,63.65953022,99.50400967,76.10138174,47.20138152,49.47719615,44.28662191,46.43238506,32.20762386,13.15141473,42.3909873,2595.279839,1952.115809,1898.210211,1266.552389,2092.087529,694.9103755,225.8912974,189.1994179,88.58967883,173.2965477,987.1427838,311.3139189,1324.371212,1413.223407,252.3083777,1081.027843,627.1549565,1507.145601,1443.295156,482.224748,412.0591911,150.0090652,177.1916842,94.89406363,146.3572219
