dataset_name,classifier_name,train_time_0,train_time_1,train_time_2,train_time_3,train_time_4,train_time,train_time_std
SemgHandGenderCh2,DTW_LOOCV,103637.441833111,,,,,103637.441833111,0.0
SemgHandMovementCh2,DTW_LOOCV,216864.612002451,,,,,216864.612002451,0.0
SemgHandSubjectCh2,DTW_LOOCV,223580.217549108,,,,,223580.217549108,0.0
FiftyWords,DTW_LOOCV,4233.374687602,,,,,4233.374687602,0.0
WordSynonyms,DTW_LOOCV,1571.426432358,,,,,1571.426432358,0.0
CBF,DTW_LOOCV,5.8218248,,,,,5.8218248,0.0
SonyAIBORobotSurface2,DTW_LOOCV,3.87109574,,,,,3.87109574,0.0
Strawberry,DTW_LOOCV,4909.703711023,,,,,4909.703711023,0.0
AllGestureWiimoteX,DTW_LOOCV,4748.233869318,,,,,4748.233869318,0.0
AllGestureWiimoteY,DTW_LOOCV,4707.026205592,,,,,4707.026205592,0.0
AllGestureWiimoteZ,DTW_LOOCV,4597.410431709,,,,,4597.410431709,0.0
EthanolLevel,DTW_LOOCV,245499.06463807,,,,,245499.06463807,0.0
Symbols,DTW_LOOCV,25.989735069,,,,,25.989735069,0.0
PLAID,DTW_LOOCV,105108.075342395,,,,,105108.075342395,0.0
ItalyPowerDemand,DTW_LOOCV,3.496404406,,,,,3.496404406,0.0
SwedishLeaf,DTW_LOOCV,1165.398621319,,,,,1165.398621319,0.0
MedicalImages,DTW_LOOCV,300.503388416,,,,,300.503388416,0.0
TwoLeadECG,DTW_LOOCV,3.444634666,,,,,3.444634666,0.0
ShapesAll,DTW_LOOCV,24282.082229964,,,,,24282.082229964,0.0
MoteStrain,DTW_LOOCV,1.093329571,,,,,1.093329571,0.0
HandOutlines,DTW_LOOCV,386651.6231323,,,,,386651.6231323,0.0
CinCECGTorso,DTW_LOOCV,1177.839768684,,,,,1177.839768684,0.0
Phoneme,DTW_LOOCV,19580.919169894,,,,,19580.919169894,0.0
InsectWingbeatSound,DTW_LOOCV,805.201092864,,,,,805.201092864,0.0
FaceAll,DTW_LOOCV,1800.730231792,,,,,1800.730231792,0.0
FacesUCR,DTW_LOOCV,295.66353419,,,,,295.66353419,0.0
Mallat,DTW_LOOCV,885.458450767,,,,,885.458450767,0.0
MixedShapesSmallTrain,DTW_LOOCV,3023.376313374,,,,,3023.376313374,0.0
PhalangesOutlinesCorrect,DTW_LOOCV,9082.607019767,,,,,9082.607019767,0.0
FreezerSmallTrain,DTW_LOOCV,20.892206779,,,,,20.892206779,0.0
MixedShapesRegularTrain,DTW_LOOCV,86046.315962575,,,,,86046.315962575,0.0
FreezerRegularTrain,DTW_LOOCV,501.035551542,,,,,501.035551542,0.0
Yoga,DTW_LOOCV,3807.5125721,,,,,3807.5125721,0.0
MelbournePedestrian,DTW_LOOCV,341.596451779,,,,,341.596451779,0.0
NonInvasiveFetalECGThorax1,DTW_LOOCV,287223.521607628,,,,,287223.521607628,0.0
NonInvasiveFetalECGThorax2,DTW_LOOCV,280100.046957962,,,,,280100.046957962,0.0
ChlorineConcentration,DTW_LOOCV,1489.197956859,,,,,1489.197956859,0.0
FordB,DTW_LOOCV,531980.331788156,,,,,531980.331788156,0.0
UWaveGestureLibraryAll,DTW_LOOCV,163950.010114457,,,,,163950.010114457,0.0
UWaveGestureLibraryX,DTW_LOOCV,24534.912369389,,,,,24534.912369389,0.0
UWaveGestureLibraryY,DTW_LOOCV,17441.596582031,,,,,17441.596582031,0.0
UWaveGestureLibraryZ,DTW_LOOCV,23496.426948075,,,,,23496.426948075,0.0
FordA,DTW_LOOCV,455567.951490931,,,,,455567.951490931,0.0
ECG5000,DTW_LOOCV,1548.39201387,,,,,1548.39201387,0.0
TwoPatterns,DTW_LOOCV,6288.376683951,,,,,6288.376683951,0.0
Wafer,DTW_LOOCV,5111.941823277,,,,,5111.941823277,0.0
StarLightCurves,DTW_LOOCV,210601.310451618,,,,,210601.310451618,0.0
ElectricDevices,DTW_LOOCV,248452.464413647,,,,,248452.464413647,0.0
Crop,DTW_LOOCV,48568.524886896,,,,,48568.524886896,0.0
